900.0 500.0 75.0 150.0 45.0 200.0
Wall -156.0 1050.0  500.0 300.0
Wall 344.0 550.0  400.0 1000.0
Wall 944.0 650.0  500.0 100.0
Wall -556.0 1750.0  10000.0 200.0
Wall -556.0 -750.0  200.0 3000.0
Wall 7644.0 -750.0  200.0 3000.0
Wall 1144.0 650.0  100.0 400.0
Wall 1144.0 1340.0  100.0 400.0
Wall 1644.0 1350.0  800.0 200.0
Spike 1134.0 650.0  10.0 400.0
Spike 1134.0 1340.0  10.0 400.0
Spike 344.0 -50.0  200.0 200.0
Wall 2644.0 1250.0  100.0 500.0
Wall 3144.0 1250.0  100.0 50.0
Wall 3644.0 1250.0  100.0 500.0
Wall 1644.0 850.0  2000.0 100.0
Wall -356.0 250.0  8000.0 100.0
Wall 5644.0 1450.0  500.0 2100.0
Wall 6144.0 1550.0  500.0 2200.0
Wall 344.0 1450.0  500.0 2100.0
Wall 7144.0 1550.0  500.0 2100.0
Spike 2744.0 1650.0  900.0 100.0
Slime 636.0 450.0 100.0 100.0 50.0 100.0 15.0 50.0
Jumper 6858.0 1650.0 100.0 100.0 100.0 100.0 40.0 100.0
